"Data";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Brasil"
"01/2008";-;10;27;2;263;25;23;165;90;289;109;139;302;55;15;391;1414;189;466;2339;1078;532;1061;122;62;209;118;9495
"02/2008";20;17;88;7;260;14;74;178;110;675;285;131;783;163;70;594;2083;612;660;5250;2020;684;2770;187;186;560;135;18616
"03/2008";1;28;80;7;762;8;63;181;116;663;287;162;868;142;65;677;2489;507;1085;5098;1851;890;2136;273;102;529;120;19190
"04/2008";-;18;91;8;314;23;62;160;119;691;227;164;828;148;81;552;2247;428;888;4638;1676;890;2392;266;110;488;168;17677
"05/2008";-;22;108;1;347;28;93;156;128;725;263;168;858;126;55;632;2251;412;860;5289;1742;944;2169;227;160;552;242;18558
"06/2008";1;14;119;3;278;45;55;158;113;778;240;166;805;175;97;782;2648;580;911;5505;1986;966;1978;250;178;523;135;19489
"07/2008";33;9;121;7;329;42;62;208;111;835;322;167;812;126;85;761;2540;577;1152;5660;1922;1057;2151;259;166;642;213;20369
"08/2008";24;19;135;1;291;25;86;209;135;630;297;190;929;118;95;838;2438;505;1033;5458;1808;1221;2262;229;125;688;233;20022
"09/2008";29;5;117;4;384;30;64;151;143;710;376;165;793;141;81;722;2427;468;1022;5544;1984;1063;2301;248;159;673;199;20003
"10/2008";27;19;129;6;292;32;38;302;155;678;288;182;769;104;50;577;2476;517;897;5397;1999;1018;2257;262;181;617;376;19645
"11/2008";33;27;38;37;544;28;72;189;148;555;308;192;742;174;39;708;2519;520;951;5496;1931;822;2454;240;119;639;273;19798
"12/2008";23;12;67;5;290;31;74;175;108;819;268;193;841;128;82;738;2284;470;928;4798;1934;920;2257;159;134;584;339;18661
"01/2009";2;3;112;6;218;23;75;138;89;627;196;151;588;89;52;604;2056;314;884;4360;1699;919;1940;192;163;378;194;16072
"02/2009";23;15;119;4;273;20;52;177;135;703;205;162;700;111;148;570;2259;479;903;4700;1707;786;2073;206;99;590;163;17382
"03/2009";4;27;135;6;329;41;104;123;120;700;303;178;772;144;175;653;2442;423;1059;5536;1870;901;2197;191;167;597;226;19423
"04/2009";40;5;101;8;287;21;94;150;136;660;237;196;716;155;128;730;2323;401;913;5205;1850;959;2293;198;108;566;211;18691
"05/2009";30;21;87;2;274;36;64;179;155;748;288;200;825;164;106;688;2589;492;983;5618;1970;1036;2287;253;164;549;278;20086
"06/2009";25;13;91;8;284;32;93;175;167;690;249;186;777;181;106;681;2532;509;1016;5678;1812;934;2239;248;132;629;269;19756
"07/2009";46;20;117;3;285;26;77;174;179;664;303;220;879;156;100;736;2685;589;1294;5806;1936;1094;2496;248;170;697;256;21256
"08/2009";41;15;142;3;270;33;97;161;137;760;283;173;846;161;116;712;2740;662;1359;6643;1894;1029;2274;235;165;678;304;21933
"09/2009";26;-;78;3;301;43;94;211;123;785;302;201;970;178;118;700;2685;575;1255;5882;1745;1023;2356;237;161;712;243;21007
"10/2009";35;12;102;6;327;21;77;197;151;818;335;204;899;221;131;745;2565;627;1092;5727;1944;1043;2434;241;172;710;224;21060
"11/2009";72;14;94;9;267;27;86;169;136;800;319;165;913;180;117;766;2509;635;1255;5545;1820;1127;2290;239;186;721;266;20727
"12/2009";35;8;122;3;285;34;92;205;183;692;335;173;908;228;121;694;2381;560;1046;5427;1795;872;2458;203;147;789;180;19976
"01/2010";6;7;110;7;212;37;62;213;112;683;282;160;717;189;115;564;2326;374;1026;5152;1589;869;2270;231;147;531;217;18208
"02/2010";29;3;90;-;258;17;80;137;112;711;299;155;682;90;116;552;2200;498;931;5242;1672;703;2103;168;180;567;203;17798
"03/2010";16;14;97;9;302;26;80;180;135;706;361;179;796;188;105;708;2618;588;1261;5768;1878;826;2091;201;186;626;258;20203
"04/2010";23;13;120;3;229;12;94;191;148;731;365;158;933;277;131;758;2443;587;988;5896;1896;1118;2263;164;178;489;239;20447
"05/2010";37;16;99;10;257;29;86;173;158;683;348;163;892;199;123;633;2752;623;1428;5990;1969;1051;2426;211;232;597;254;21439
"06/2010";31;4;94;5;246;27;111;209;122;655;283;182;884;155;94;521;2669;579;1306;5908;1899;1016;2364;236;177;526;208;20511
"07/2010";27;13;136;3;269;26;89;222;131;707;332;203;818;235;125;602;2669;658;1181;6010;1849;1003;2274;225;192;601;335;20935
"08/2010";14;7;108;7;305;27;99;195;149;787;287;168;953;231;126;713;2709;564;1366;6062;2089;1002;2556;266;178;685;300;21953
"09/2010";36;12;103;9;228;21;81;172;125;688;372;158;839;251;141;633;2715;595;1372;6039;2024;1017;2356;214;167;595;296;21259
"10/2010";45;6;108;9;257;20;91;182;127;604;317;157;896;163;122;716;2739;646;1291;5896;2009;958;2521;256;185;607;242;21170
"11/2010";38;11;111;9;405;23;75;185;131;690;309;169;925;210;116;583;2694;877;1272;5742;2004;1003;2260;286;162;569;267;21126
"12/2010";57;16;131;7;345;41;71;175;139;646;316;185;710;197;89;594;2690;914;1261;5766;1923;942;2362;266;170;689;287;20989
"01/2011";47;29;104;2;452;51;92;166;114;584;423;164;811;199;147;600;2635;824;1068;5319;1763;887;2078;273;119;526;233;19710
"02/2011";27;18;121;1;301;35;63;139;97;615;316;210;742;213;102;580;2620;739;1214;5748;1836;1009;2181;165;157;706;218;20173
"03/2011";42;14;113;1;306;34;94;176;120;602;326;209;907;115;116;609;2696;841;1198;5800;1923;984;2242;271;172;791;244;20946
"04/2011";24;6;131;1;252;34;61;183;151;626;353;173;926;185;138;721;2730;639;1316;5967;2000;1160;2115;235;143;776;363;21409
"05/2011";23;29;166;4;254;17;105;200;166;519;366;288;900;203;106;737;2804;944;1247;6305;1927;1132;2326;282;163;843;332;22388
"06/2011";36;15;129;3;217;25;78;125;156;578;367;195;930;201;68;644;2758;696;1189;5810;2076;1153;2423;259;148;756;308;21343
"07/2011";13;11;167;5;231;27;98;215;142;716;350;214;821;227;127;727;2931;790;1346;6018;2292;1097;2444;267;200;747;284;22507
"08/2011";42;12;165;3;230;15;77;216;115;594;283;192;1007;262;144;779;3034;802;1340;6356;2222;1124;2259;274;113;1008;324;22992
"09/2011";36;10;138;2;309;70;70;197;146;625;402;193;863;210;107;677;2970;704;1286;5997;2083;1068;2357;337;155;900;253;22165
"10/2011";33;10;135;3;364;23;73;193;163;716;271;213;871;234;138;686;2806;775;1242;5824;2146;1097;2357;261;177;858;271;21940
"11/2011";32;9;139;4;366;32;66;149;171;651;241;230;994;161;104;791;2867;728;1202;6017;2105;1189;2252;233;178;802;285;21998
"12/2011";16;35;113;3;737;46;113;146;192;652;492;197;856;395;93;664;2838;762;1274;5762;2157;1093;2198;244;145;857;237;22317
"01/2012";22;43;208;4;421;22;54;154;162;541;313;141;820;115;121;610;2674;790;1090;6110;2003;1071;2012;237;76;678;301;20793
"02/2012";21;17;162;1;587;28;78;142;166;702;240;163;713;195;95;796;2641;772;1056;5468;1907;899;2260;239;115;846;247;20556
"03/2012";20;27;137;8;607;44;110;212;184;746;378;154;826;241;211;742;3103;781;1255;6019;2202;1213;2460;261;163;901;244;23249
"04/2012";15;11;99;2;265;29;107;193;164;623;366;183;897;200;119;852;2816;877;1200;5817;2010;1060;2313;260;215;820;272;21785
"05/2012";18;15;125;1;331;33;118;181;171;644;295;220;835;173;150;852;2970;785;1293;6125;2167;1254;2343;252;167;694;254;22466
"06/2012";25;13;116;4;257;40;124;142;195;704;386;193;861;208;165;848;2910;803;1265;5926;2188;1120;2461;284;202;674;279;22393
"07/2012";18;11;138;3;332;47;117;197;190;605;411;209;892;239;152;799;3055;909;1409;6047;2262;1307;2443;234;194;707;347;23274
"08/2012";25;8;143;4;265;44;105;164;174;623;342;217;886;244;157;852;3365;865;1404;6341;2441;1375;2252;304;203;731;321;23855
"09/2012";25;12;131;1;245;53;93;177;200;686;318;230;842;204;127;879;3101;801;1267;6214;2294;1300;2015;275;212;721;333;22756
"10/2012";14;19;135;1;410;42;84;199;187;655;401;157;919;205;157;801;3181;844;1319;6079;2214;1294;1825;256;157;833;264;22652
"11/2012";22;6;126;2;439;43;84;192;183;642;410;232;917;133;121;808;3024;902;1160;5801;2195;1155;2564;255;221;899;227;22763
"12/2012";10;11;98;3;348;45;94;173;173;719;386;205;787;224;132;799;2789;834;1056;5371;2013;1074;2010;225;214;754;234;20781
"01/2013";21;12;139;4;486;28;79;120;186;671;351;190;915;194;135;679;2800;674;1055;5399;1920;963;2109;237;156;723;248;20494
"02/2013";13;15;167;-;458;31;102;143;185;711;343;204;743;205;113;548;2787;512;1030;5371;1864;989;2037;240;164;675;295;19945
